Id,Name,Popularity,Followers,Genres
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,81,6230579,"adult standards, rock-and-roll, rockabilly"
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,84,5335732,"adult standards, easy listening, lounge"
5y2Xq6xcjJb2jVM54GHK3t,John Legend,82,6076119,"neo soul, pop, pop soul, r&b, urban contemporary"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,98,48303522,pop
1FtBEIWAwvw5ymBen5GICR,Chlöe,69,129872,
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,86,6233744,"melodic rap, rap, trap"
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,77,180160,vapor trap
44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,65,719508,trap
7xTKLpo7UCzXSnlH7fOIoM,Redman,69,899051,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, new jersey rap, rap, southern hip hop, wu fam"
2VX0o9LDIVmKIgpnwdJpOJ,Erick Sermon,54,167385,"alternative hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, rap, turntablism"
1wvlC6NwleHt1iRD6d5X2C,Foxy Brown,61,505234,"contemporary r&b, east coast hip hop, hip hop, hip pop, r&b, rap"
2P3cjUru4H3fhSXXNxE9kA,Blackstreet,66,627431,"boy band, contemporary r&b, dance pop, hip hop, hip pop, neo soul, new jack swing, pop rap, quiet storm, r&b, rap, urban contemporary"
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,86,7434668,"melodic rap, rap, trap"
0huGjMyP507tBCARyzSkrv,Cordae,77,1668547,"dmv rap, hip hop, rap, trap, underground hip hop"
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,81,4739243,"alternative r&b, dance pop, pop, r&b"
3hcs9uc56yIGFCSy9leWe7,Lil Durk,88,3512022,"chicago drill, chicago rap, drill, hip hop, rap, trap"
3CbYyyd8wH3RT6t0jwpdzC,Murda Beatz,66,122856,"canadian hip hop, canadian trap"
67nwj3Y5sZQLl72VNUHEYE,Wale,76,3460986,"hip hop, pop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
75VKfyoBlkmrJFDqo1o2VY,Fireboy DML,75,463684,nigerian pop
2IK173RXLiCSQ8fhDlAb3s,Adekunle Gold,65,448167,"afropop, alte, azontobeats, nigerian hip hop, nigerian pop"
3ZMur3elMyOs248ah86NRk,Mach-Hommy,58,49924,"alternative hip hop, boom bap, hip hop, new jersey rap, psychedelic hip hop, underground hip hop"
7MigDh04CCntQbsBvugEmb,Marlon Craft,55,63488,"nyc rap, underground hip hop"
2Gzy8TYJ5xrEMDyUjZuDsK,Masicka,58,170900,"dancehall, modern reggae"
2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,71,943487,"dancehall, pop, pop rap, uk dancehall, uk hip hop"
1HXkVBU6RwIxxN6xuI6b00,Squash,49,64623,"dancehall, trinibad"
3TVXtAsR1Inumwj472S9r4,Drake,98,60433218,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
